id,name,appearances,goals,asists,yellow_cards,second_yellow_cards,red_cards,minutes_played,goals_conceded,clean_sheets
241641,bernardo-silva,50.0,13,7,6,-,-,3.948',,
184398,stephen-kingsley,43.0,7,-,2,-,-,3.665',,
356569,olufela-olomola,25.0,2,1,-,-,-,1.113',,
255916,deandre-yedlin,62.0,-,4,11,-,-,5.217',,
121279,tom-carroll,17.0,-,-,1,-,-,998',,
130164,jordan-pickford,37.0,-,,2,-,-,3.330',63.0,7.0
811779,alejandro-garnacho,35.0,15,6,4,1,-,2.145',,
27394,alex-song,2.0,-,-,-,-,-,180',,
26456,mauro-zarate,23.0,4,-,4,-,-,1.349',,
472423,reece-james,39.0,6,10,7,-,1,2.859',,
592988,cheikh-diaby,,,,,,,,,
581679,nathan-young-coombes,1.0,-,-,-,-,-,3',,
335721,ben-white,37.0,-,-,3,-,-,3.278',,
55735,henrikh-mkhitaryan,44.0,5,9,3,1,-,3.354',,
531957,cody-drameh,37.0,-,5,6,-,-,2.890',,
127187,abdoulaye-doucoure,34.0,2,4,6,-,-,2.796',,
201574,angus-gunn,12.0,-,,-,-,-,1.080',27.0,2.0
531677,dishon-bernard,28.0,-,-,8,-,-,2.351',,
156939,ben-heneghan,47.0,2,-,9,-,-,4.218',,
257805,mathias-normann,29.0,1,2,8,-,-,2.043',,
225083,ngolo-kante,42.0,2,5,3,-,-,2.716',,
487417,liam-millar,46.0,10,5,5,-,-,2.841',,
302371,toni-martinez,37.0,7,-,2,1,-,1.002',,
214316,luciano-vietto,26.0,6,3,2,-,-,1.506',,
533657,lewis-brunt,26.0,3,-,2,-,1,2.188',,
158697,gael-bigirimana,18.0,-,3,2,-,-,882',,
95810,kieran-trippier,25.0,2,-,1,-,-,1.718',,
247647,ryan-seager,40.0,27,-,4,-,-,3.507',,
272624,david-faupala,11.0,1,1,1,-,-,448',,
242646,nathan-mavila,22.0,-,1,5,-,-,1.388',,
480191,cohen-bramall,36.0,2,5,3,-,-,2.452',,
536835,amad-diallo,16.0,5,1,2,-,-,749',,
234189,mahmoud-trezeguet,15.0,7,4,1,-,-,1.114',,
182932,davy-klaassen,44.0,11,4,4,-,-,2.371',,
186644,mohamed-elyounoussi,33.0,8,4,4,-,-,2.252',,
320411,philip-billing,42.0,11,10,13,-,-,3.424',,
210081,didier-ndong,22.0,-,1,5,-,-,1.611',,
559263,fabio-carvalho,38.0,11,8,6,-,-,3.013',,
662334,marcelo-pitaluga,22.0,-,,-,-,-,1.959',41.0,5.0
37337,mario-suarez,21.0,1,-,3,-,-,1.351',,
73547,oliver-norwood,49.0,1,4,10,-,-,3.950',,
170321,paul-dummett,3.0,-,-,2,-,-,193',,
51730,jamie-murphy,40.0,4,4,1,-,-,2.473',,
186923,jack-rose,7.0,-,,-,-,-,630',9.0,1.0
198516,harry-toffolo,48.0,6,8,5,-,-,4.078',,
138335,jakob-haugaard,31.0,-,,3,-,-,2.850',51.0,3.0
18227,curtis-davies,47.0,4,-,9,-,-,4.230',,
167799,pierre-emile-hojbjerg,48.0,3,4,3,-,-,3.986',,
238223,ederson,49.0,-,,4,-,-,4.423',40.0,25.0
201576,jordy-hiwula,25.0,1,2,3,-,-,1.964',,
355915,cristian-romero,30.0,1,-,11,1,-,2.551',,
224673,harry-panayiotou,19.0,1,-,1,-,-,884',,
338673,thibaud-verlinden,17.0,1,3,2,-,-,841',,
199527,jacob-murphy,34.0,1,2,4,-,-,1.517',,
148907,sean-murray,18.0,1,3,1,-,-,1.140',,
732119,kaide-gordon,19.0,5,2,1,-,-,1.451',,
128828,tom-anderson,24.0,1,-,3,-,-,2.082',,
195680,joe-ralls,29.0,1,6,7,-,-,2.256',,
60558,maxime-le-marchand,12.0,1,1,4,-,-,857',,
109751,onel-hernandez,40.0,4,3,5,-,-,2.686',,
293168,filip-benkovic,5.0,-,-,1,-,-,215',,
222830,danilo-pantic,26.0,4,4,4,-,-,1.544',,
230541,yoshinori-muto,31.0,7,3,1,-,-,2.273',,
610849,liam-delap,15.0,8,2,3,-,-,929',,
135213,kenneth-zohore,10.0,5,1,1,-,-,598',,
43250,jan-vertonghen,46.0,-,2,8,-,-,4.032',,
123536,simon-moore,42.0,-,,1,-,-,3.810',56,9
838367,james-storer,18.0,-,,1,-,-,1.620',30,3
286415,pau-lopez,36.0,-,,4,-,-,3.240',43,12
85289,jordi-amat,33.0,-,2,6,1,1,2.832',,
91845,heung-min-son,45.0,24,10,3,-,-,3.526',,
238407,alexander-sorloth,44.0,8,1,2,-,-,2.247',,
243633,aaron-tshibola,27.0,2,-,8,1,1,1.922',,
84835,emanuele-giaccherini,,,,,,,,,
287247,krystian-bielik,16.0,1,-,1,-,-,1.054',,
28260,alvaro-arbeloa,,,,,,,,,
412596,adam-parkes,22.0,-,,3,-,-,1.980',57,3
9594,vincent-kompany,,,,,,,,,
633621,michael-craig,14.0,-,1,-,-,-,694',,
28990,charlie-adam,33.0,4,6,14,-,-,1.981',,
396284,zak-dearnley,33.0,6,-,-,-,-,1.099',,
9988,michael-dawson,,,,,,,,,
453306,josh-clackstone,35.0,-,-,1,-,-,3.150',,
3333,james-milner,39.0,-,3,5,-,-,1.371',,
581683,nile-john,20.0,7,3,4,-,-,1.703',,
22388,bafetimbi-gomis,35.0,18,-,5,-,-,2.045',,
668265,kayky,19.0,6,4,1,-,-,1.255',,
581445,mazeed-ogungbo,25.0,-,1,2,-,-,2.184',,
563963,mohammed-salisu,37.0,1,-,9,1,-,3.242',,
320913,anthony-georgiou,7.0,-,-,2,-,-,221',,
44675,bojan-krkic,20.0,-,3,-,-,-,741',,
3876,joe-cole,,,,,,,,,
3202,kolo-toure,,,,,,,,,
91059,joshua-king,33.0,5,3,5,-,-,2.295',,
82243,moritz-leitner,11.0,-,-,2,-,-,627',,
341501,hamza-choudhury,12.0,-,-,1,-,-,531',,
392762,austin-samuels,29.0,5,1,4,-,-,1.417',,
35664,mesut-ozil,26.0,9,2,-,-,-,1.521',,
724537,andy-moran,27.0,5,4,1,-,-,1.944',,
124172,danny-ward,47.0,14,3,2,-,-,3.202',,
538994,pierre-ekwah,23.0,3,1,2,1,-,1.995',,
45509,siem-de-jong,30.0,1,1,-,-,-,1.483',,
182877,anthony-martial,23.0,2,1,1,-,-,1.040',,
583189,anthony-elanga,37.0,8,5,1,-,1,2.343',,
867711,will-alves,29.0,2,2,1,-,-,1.693',,
425713,akin-famewo,40.0,1,1,10,-,-,3.387',,
413220,james-justin,20.0,-,-,-,-,-,1.467',,
79723,sean-morrison,19.0,3,1,2,-,1,1.562',,
731738,teddy-rowe,17.0,1,1,1,-,-,747',,
241481,jairo-riedewald,6.0,1,-,-,-,-,221',,
465294,allan-tchaptchet,2.0,-,-,-,-,-,89',,
82873,pascal-gross,33.0,2,4,1,-,-,2.387',,
3540,john-oshea,,,,,,,,,
67252,ryan-bennett,20.0,-,-,8,-,1,1.628',,
554175,alpha-diounkou,31.0,-,1,5,-,-,2.495',,
251289,jordan-lyden,14.0,1,-,3,-,-,757',,
562254,kyle-taylor,19.0,1,1,-,-,-,825',,
392757,marc-guehi,42.0,4,1,4,-,-,3.763',,
120565,andre-gray,30.0,10,1,2,-,-,1.397',,
424901,joe-tupper,1.0,-,,-,-,-,90',-,1
95976,alex-mccarthy,18.0,-,,1,-,-,1.620',27,6
283628,tomas-soucek,51.0,6,1,3,-,-,4.317',,
52570,fraser-forster,24.0,-,,2,-,-,2.190',44,4
485585,ian-maatsen,42.0,3,1,9,-,1,3.244',,
53231,diego-cavalieri,,,,,,,,,
74300,luka-milivojevic,20.0,-,-,1,-,-,911',,
354134,joe-powell,38.0,4,8,7,-,-,2.861',,
568177,cole-palmer,20.0,12,6,1,-,-,1.156',,
77329,will-buckley,,,,,,,,,
27614,james-morrison,,,,,,,,,
61819,charlie-daniels,19.0,-,3,1,-,-,1.576',,
319213,vlad-dragomir,27.0,1,-,4,-,-,1.401',,
504042,daniel-barden,1.0,-,,-,-,-,90',1,-
696764,abu-kamara,27.0,15,4,4,-,-,2.354',,
776798,abdallah-sima,15.0,4,1,-,-,-,764',,
485424,moussa-djenepo,16.0,-,-,4,-,-,674',,
696181,romaine-mundle,18.0,-,1,2,-,-,1.103',,
50219,simon-mignolet,49.0,-,,4,-,-,4.423',63,18
746554,thierry-small,19.0,5,2,4,-,-,1.617',,
110858,benik-afobe,41.0,13,3,4,-,-,3.241',,
251896,jesus-vallejo,8.0,-,-,1,-,-,353',,
44792,kieran-gibbs,17.0,-,-,-,-,-,700',,
57162,sofiane-feghouli,30.0,5,5,1,-,-,1.527',,
170527,timo-werner,37.0,11,6,1,-,-,2.215',,
37363,lee-cattermole,,,,,,,,,
60583,jeremy-pied,3.0,-,-,-,-,-,14',,
241916,brian-lenihan,,,,,,,,,
486477,edo-kayembe,32.0,4,2,3,-,-,2.438',,
56100,leon-balogun,37.0,2,-,4,-,1,2.586',,
284754,joe-ward,,,,,,,,,
125409,nathaniel-mendez-laing,19.0,2,3,-,-,-,1.081',,
387313,samuel-shashoua,34.0,6,4,4,-,-,1.740',,
728734,alfie-devine,22.0,11,3,4,-,-,1.804',,
244290,jake-gray,27.0,4,-,1,-,-,2.182',,
318224,johan-ter-horst,,,,,,,,,
450936,tanguy-ndombele,31.0,3,3,5,-,-,1.904',,
39532,victor-anichebe,,,,,,,,,
742746,caleb-chukwuemeka,22.0,7,8,-,-,-,1.186',,
484838,viljami-sinisalo,7.0,-,,-,-,-,630',11.0,2
66518,rene-gilmartin,,,,,,,,,
530807,dilan-markanday,20.0,12,7,3,-,-,1.554',,
559330,salah-eddine-oulad-mhand,21.0,6,3,1,-,1,1.554',,
460255,max-melbourne,21.0,1,-,2,-,-,1.407',,
9508,shaun-maloney,,,,,,,,,
335595,dessie-hutchinson,,,,,,,,,
581677,nohan-kenneh,28.0,1,1,4,-,-,2.246',,
177862,charly-musonda-jr-,2.0,-,-,-,-,-,151',,
28336,mile-jedinak,,,,,,,,,
531679,ethan-laird,27.0,-,4,1,-,-,1.997',,
134294,danny-ings,31.0,7,6,4,-,-,1.995',,
503977,taylor-harwood-bellis,43.0,-,3,7,-,-,3.502',,
283655,grant-ward,5.0,-,-,-,-,-,379',,
46405,lovre-kalinic,35.0,-,,2,-,-,3.110',31.0,16
288255,donny-van-de-beek,21.0,2,-,2,-,-,864',,
120610,diafra-sakho,1.0,-,-,-,-,-,44',,
126412,ouasim-bouy,1.0,-,1,-,-,-,90',,
80702,mark-birighitti,29.0,-,,4,-,-,2.610',39.0,11
3875,jermain-defoe,9.0,-,-,1,-,-,254',,
314384,ben-sheaf,37.0,2,4,7,-,-,3.104',,
25742,nikica-jelavic,,,,,,,,,
262226,timothy-castagne,36.0,1,-,2,-,-,2.796',,
562257,shaun-hobson,42.0,1,-,4,-,-,3.594',,
469064,gavin-kilkenny,18.0,-,1,5,-,-,1.460',,
668495,marcelo-flores,22.0,11,3,1,-,-,1.690',,
335461,renat-dadashov,37.0,3,2,3,-,-,1.598',,
471690,max-aarons,35.0,-,2,8,-,-,2.901',,
74683,nemanja-matic,32.0,-,4,5,-,-,1.666',,
51528,bruno-saltor,,,,,,,,,
59641,denis-odoi,36.0,2,5,14,1,-,2.858',,
353129,nathan-harker,,,,,,,,,
22165,charles-nzogbia,,,,,,,,,
196522,dwight-gayle,9.0,-,-,1,-,-,106',,
66413,franck-tabanou,,,,,,,,,
145988,wilfried-zaha,37.0,15,2,5,1,-,3.122',,
101118,joel-robles,3.0,-,,-,-,-,300',2.0,2
28261,jose-manuel-jurado,,,,,,,,,
73067,adam-clayton,12.0,-,1,1,1,-,739',,
